word\t index\t occurance
hope\t 1257\t 83
forced\t 1258\t 83
Democrats\t 1259\t 83
Nissan\t 1260\t 83
leveraged\t 1261\t 83
package\t 1262\t 83
expenses\t 1263\t 83
protection\t 1264\t 83
night\t 1265\t 83
improve\t 1266\t 83
allowed\t 1267\t 83
sign\t 1268\t 83
term\t 1269\t 83
ability\t 1270\t 83
across\t 1271\t 83
stop\t 1272\t 82
woman\t 1273\t 82
trades\t 1274\t 82
followed\t 1275\t 82
running\t 1276\t 82
party\t 1277\t 82
January\t 1278\t 82
require\t 1279\t 82
28\t 1280\t 82
whole\t 1281\t 82
advanced\t 1282\t 82
rising\t 1283\t 82
holds\t 1284\t 82
needs\t 1285\t 81
operation\t 1286\t 81
media\t 1287\t 81
spring\t 1288\t 81
specific\t 1289\t 81
apparently\t 1290\t 81
R.\t 1291\t 81
rule\t 1292\t 81
45\t 1293\t 81
quality\t 1294\t 81
together\t 1295\t 81
activities\t 1296\t 81
Index\t 1297\t 81
water\t 1298\t 81
90\t 1299\t 81
quoted\t 1300\t 81
ways\t 1301\t 80
Computer\t 1302\t 80
avoid\t 1303\t 80
Despite\t 1304\t 80
let\t 1305\t 80
closely\t 1306\t 80
response\t 1307\t 80
young\t 1308\t 80
consumers\t 1309\t 80
thrift\t 1310\t 80
various\t 1311\t 80
Moreover\t 1312\t 79
instance\t 1313\t 79
Research\t 1314\t 79
trial\t 1315\t 79
Supreme\t 1316\t 79
payment\t 1317\t 79
greater\t 1318\t 79
offices\t 1319\t 79
article\t 1320\t 79
U.K.\t 1321\t 79
Baker\t 1322\t 79
decade\t 1323\t 78
slow\t 1324\t 78
cause\t 1325\t 78
Services\t 1326\t 78
pension\t 1327\t 78
Time\t 1328\t 78
serious\t 1329\t 78
spend\t 1330\t 78
signed\t 1331\t 78
economist\t 1332\t 78
play\t 1333\t 78
energy\t 1334\t 78
focus\t 1335\t 77
develop\t 1336\t 77
emergency\t 1337\t 77
provision\t 1338\t 77
developed\t 1339\t 77
300\t 1340\t 77
gave\t 1341\t 77
district\t 1342\t 77
field\t 1343\t 77
introduced\t 1344\t 77
jobs\t 1345\t 77
premium\t 1346\t 77
direct\t 1347\t 77
moved\t 1348\t 77
leave\t 1349\t 76
policies\t 1350\t 76
debentures\t 1351\t 76
offset\t 1352\t 76
valued\t 1353\t 76
battle\t 1354\t 76
familiar\t 1355\t 76
figure\t 1356\t 76
interview\t 1357\t 76
add\t 1358\t 76
opened\t 1359\t 76
Stanley\t 1360\t 75
10,000\t 1361\t 75
offers\t 1362\t 75
sharp\t 1363\t 75
contributed\t 1364\t 75
step\t 1365\t 75
block\t 1366\t 75
stay\t 1367\t 75
provides\t 1368\t 75
managing\t 1369\t 75
feet\t 1370\t 75
win\t 1371\t 75
appear\t 1372\t 75
negative\t 1373\t 74
highly\t 1374\t 74
takes\t 1375\t 74
par\t 1376\t 74
morning\t 1377\t 74
Lawson\t 1378\t 74
fully\t 1379\t 74
giant\t 1380\t 74
Communications\t 1381\t 74
trader\t 1382\t 74
29\t 1383\t 74
Lehman\t 1384\t 74
ruling\t 1385\t 74
existing\t 1386\t 74
deals\t 1387\t 74
News\t 1388\t 73
Yesterday\t 1389\t 73
over-the-counter\t 1390\t 73
create\t 1391\t 73
relatively\t 1392\t 73
measures\t 1393\t 73
indicated\t 1394\t 73
interested\t 1395\t 73
talk\t 1396\t 73
amounts\t 1397\t 72
climbed\t 1398\t 72
medical\t 1399\t 72
provisions\t 1400\t 72
Investment\t 1401\t 72
discount\t 1402\t 72
26\t 1403\t 72
Valley\t 1404\t 72
chance\t 1405\t 72
target\t 1406\t 72
Two\t 1407\t 72
flat\t 1408\t 72
hands\t 1409\t 72
Data\t 1410\t 72
Electric\t 1411\t 72
cancer\t 1412\t 71
purchases\t 1413\t 71
institutional\t 1414\t 71
owners\t 1415\t 71
pretax\t 1416\t 71
alone\t 1417\t 71
pence\t 1418\t 71
properties\t 1419\t 71
Not\t 1420\t 71
resigned\t 1421\t 71
houses\t 1422\t 71
backed\t 1423\t 71
economists\t 1424\t 71
passed\t 1425\t 71
plunge\t 1426\t 71
Thomas\t 1427\t 71
willing\t 1428\t 71
2.5\t 1429\t 71
larger\t 1430\t 71
chain\t 1431\t 70
County\t 1432\t 70
declines\t 1433\t 70
jury\t 1434\t 70
ads\t 1435\t 70
fear\t 1436\t 70
widely\t 1437\t 70
Santa\t 1438\t 70
unless\t 1439\t 70
worked\t 1440\t 70
-\t 1441\t 70
benefit\t 1442\t 70
Administration\t 1443\t 70
Reagan\t 1444\t 70
facilities\t 1445\t 70
else\t 1446\t 70
maintain\t 1447\t 70
bankruptcy\t 1448\t 70
Manhattan\t 1449\t 70
provided\t 1450\t 70
Such\t 1451\t 70
lawyer\t 1452\t 69
approach\t 1453\t 69
forces\t 1454\t 69
risks\t 1455\t 69
substantial\t 1456\t 69
elected\t 1457\t 69
Secretary\t 1458\t 69
adding\t 1459\t 69
Swiss\t 1460\t 69
Motors\t 1461\t 69
cuts\t 1462\t 69
publicly\t 1463\t 69
speculation\t 1464\t 69
perhaps\t 1465\t 69
Hutton\t 1466\t 69
practice\t 1467\t 69
Another\t 1468\t 69
death\t 1469\t 69
Then\t 1470\t 69
students\t 1471\t 69
competitors\t 1472\t 69
necessary\t 1473\t 69
USX\t 1474\t 69
considering\t 1475\t 68
tough\t 1476\t 68
Johnson\t 1477\t 68
moving\t 1478\t 68
Commerce\t 1479\t 68
standards\t 1480\t 68
ones\t 1481\t 68
store\t 1482\t 68
tell\t 1483\t 68
goes\t 1484\t 68
raising\t 1485\t 68
Salomon\t 1486\t 68
transportation\t 1487\t 68
person\t 1488\t 68
totaled\t 1489\t 68
Mexico\t 1490\t 68
prevent\t 1491\t 68
Hurricane\t 1492\t 67
someone\t 1493\t 67
met\t 1494\t 67
acquisitions\t 1495\t 67
researchers\t 1496\t 67
Gulf\t 1497\t 67
Trade\t 1498\t 67
environmental\t 1499\t 67
Chemical\t 1500\t 67
rating\t 1501\t 67
sought\t 1502\t 67
land\t 1503\t 67
act\t 1504\t 67
carrier\t 1505\t 67
Lloyd\t 1506\t 67
fixed\t 1507\t 67
improved\t 1508\t 67
image\t 1509\t 67
read\t 1510\t 67
cited\t 1511\t 67
housing\t 1512\t 67
reflecting\t 1513\t 67
margins\t 1514\t 67
secretary\t 1515\t 67
laws\t 1516\t 66
list\t 1517\t 66
air\t 1518\t 66
Security\t 1519\t 66
Thatcher\t 1520\t 66
Paribas\t 1521\t 66
capital-gains\t 1522\t 66
remaining\t 1523\t 66
mostly\t 1524\t 66
date\t 1525\t 66
planning\t 1526\t 66
Ltd\t 1527\t 66
chemical\t 1528\t 66
!\t 1529\t 66
Charles\t 1530\t 66
giving\t 1531\t 66
forecast\t 1532\t 66
room\t 1533\t 66
hour\t 1534\t 66
Market\t 1535\t 66
Pentagon\t 1536\t 66
regulatory\t 1537\t 66
stand\t 1538\t 66
entire\t 1539\t 66
bidding\t 1540\t 65
review\t 1541\t 65
minority\t 1542\t 65
opening\t 1543\t 65
sports\t 1544\t 65
restrictions\t 1545\t 65
reorganization\t 1546\t 65
civil\t 1547\t 65
war\t 1548\t 65
real-estate\t 1549\t 65
Act\t 1550\t 65
attention\t 1551\t 65
27\t 1552\t 65
lose\t 1553\t 65
Markets\t 1554\t 65
appears\t 1555\t 65
story\t 1556\t 65
Health\t 1557\t 65
positions\t 1558\t 65
1.5\t 1559\t 65
rally\t 1560\t 65
Chinese\t 1561\t 65
ownership\t 1562\t 65
exchanges\t 1563\t 65
funding\t 1564\t 65
events\t 1565\t 65
Cray\t 1566\t 65
reach\t 1567\t 65
principal\t 1568\t 65
33\t 1569\t 65
so-called\t 1570\t 65
Nasdaq\t 1571\t 65
negotiations\t 1572\t 64
More\t 1573\t 64
Entertainment\t 1574\t 64
opposition\t 1575\t 64
claim\t 1576\t 64
book\t 1577\t 64
During\t 1578\t 64
Medical\t 1579\t 64
anyone\t 1580\t 64
individuals\t 1581\t 64
Associates\t 1582\t 64
Life\t 1583\t 64
immediately\t 1584\t 64
factors\t 1585\t 64
modest\t 1586\t 64
white\t 1587\t 64
particular\t 1588\t 64
materials\t 1589\t 64
consultant\t 1590\t 64
community\t 1591\t 64
parties\t 1592\t 64
Soviets\t 1593\t 63
expectations\t 1594\t 63
Indeed\t 1595\t 63
industries\t 1596\t 63
dividends\t 1597\t 63
safety\t 1598\t 63
access\t 1599\t 63
customer\t 1600\t 63
mean\t 1601\t 63
trend\t 1602\t 63
human\t 1603\t 63
heavily\t 1604\t 63
involving\t 1605\t 63
attributed\t 1606\t 63
44\t 1607\t 63
saw\t 1608\t 63
subordinated\t 1609\t 63
accept\t 1610\t 63
works\t 1611\t 63
electronic\t 1612\t 63
rejected\t 1613\t 63
30-year\t 1614\t 63
opportunity\t 1615\t 62
items\t 1616\t 62
overall\t 1617\t 62
bids\t 1618\t 62
traditional\t 1619\t 62
flow\t 1620\t 62
reduction\t 1621\t 62
carry\t 1622\t 62
November\t 1623\t 62
L.\t 1624\t 62
Mitsubishi\t 1625\t 62
Yet\t 1626\t 62
movie\t 1627\t 62
conservative\t 1628\t 62
Republican\t 1629\t 62
England\t 1630\t 62
experience\t 1631\t 62
savings\t 1632\t 62
spread\t 1633\t 62
believed\t 1634\t 62
monthly\t 1635\t 62
difference\t 1636\t 61
wrote\t 1637\t 61
Net\t 1638\t 61
chips\t 1639\t 61
Those\t 1640\t 61
drugs\t 1641\t 61
producer\t 1642\t 61
cover\t 1643\t 61
complete\t 1644\t 61
minutes\t 1645\t 61
Ohio\t 1646\t 61
organization\t 1647\t 61
Georgia-Pacific\t 1648\t 61
St.\t 1649\t 61
homes\t 1650\t 61
Savings\t 1651\t 61
Home\t 1652\t 61
miles\t 1653\t 61
couple\t 1654\t 61
maturity\t 1655\t 61
disaster\t 1656\t 60
requirements\t 1657\t 60
success\t 1658\t 60
split\t 1659\t 60
profitable\t 1660\t 60
Campeau\t 1661\t 60
mortgages\t 1662\t 60
weak\t 1663\t 60
Paul\t 1664\t 60
grow\t 1665\t 60
lack\t 1666\t 60
expensive\t 1667\t 60
Credit\t 1668\t 60
design\t 1669\t 60
mutual\t 1670\t 60
owner\t 1671\t 60
alleged\t 1672\t 60
Navigation\t 1673\t 60
partnership\t 1674\t 60
typically\t 1675\t 60
gives\t 1676\t 60
corn\t 1677\t 60
US$\t 1678\t 60
strength\t 1679\t 60
LIN\t 1680\t 60
C$\t 1681\t 60
farmers\t 1682\t 60
output\t 1683\t 60
pending\t 1684\t 60
world-wide\t 1685\t 60
option\t 1686\t 60
400\t 1687\t 60
E.\t 1688\t 60
manufacturers\t 1689\t 60
internal\t 1690\t 60
1994\t 1691\t 60
export\t 1692\t 60
engineering\t 1693\t 60
holdings\t 1694\t 59
runs\t 1695\t 59
treatment\t 1696\t 59
facility\t 1697\t 59
listed\t 1698\t 59
regional\t 1699\t 59
fraud\t 1700\t 59
sort\t 1701\t 59
police\t 1702\t 59
released\t 1703\t 59
players\t 1704\t 59
aircraft\t 1705\t 59
aimed\t 1706\t 59
fight\t 1707\t 59
Instead\t 1708\t 59
asset\t 1709\t 59
eventually\t 1710\t 59
season\t 1711\t 59
sometimes\t 1712\t 59
accounting\t 1713\t 59
slowdown\t 1714\t 58
headquarters\t 1715\t 58
reflects\t 1716\t 58
trouble\t 1717\t 58
beyond\t 1718\t 58
ending\t 1719\t 58
Manville\t 1720\t 58
magazines\t 1721\t 58
heart\t 1722\t 58
No.\t 1723\t 58
Philip\t 1724\t 58
purchased\t 1725\t 58
investigation\t 1726\t 58
central\t 1727\t 58
Brown\t 1728\t 58
Mixte\t 1729\t 58
panel\t 1730\t 58
waiting\t 1731\t 58
1984\t 1732\t 58
debate\t 1733\t 58
prepared\t 1734\t 58
details\t 1735\t 58
PaineWebber\t 1736\t 58
Separately\t 1737\t 58
Office\t 1738\t 58
Moscow\t 1739\t 58
showing\t 1740\t 58
appeal\t 1741\t 58
launched\t 1742\t 58
headed\t 1743\t 58
sources\t 1744\t 57
scientists\t 1745\t 57
partners\t 1746\t 57
retirement\t 1747\t 57
powerful\t 1748\t 57
Development\t 1749\t 57
controls\t 1750\t 57
steps\t 1751\t 57
expand\t 1752\t 57
charged\t 1753\t 57
poor\t 1754\t 57
highest\t 1755\t 57
lending\t 1756\t 57
version\t 1757\t 57
plunged\t 1758\t 57
values\t 1759\t 57
Arizona\t 1760\t 57
crime\t 1761\t 57
region\t 1762\t 57
trucks\t 1763\t 57
Chapter\t 1764\t 57
tried\t 1765\t 57
damaged\t 1766\t 57
Goldman\t 1767\t 57
successful\t 1768\t 57
experts\t 1769\t 57
material\t 1770\t 57
expansion\t 1771\t 57
AG\t 1772\t 57
increasingly\t 1773\t 57
complex\t 1774\t 56
Sears\t 1775\t 56
travel\t 1776\t 56
primarily\t 1777\t 56
Each\t 1778\t 56
everyone\t 1779\t 56
dispute\t 1780\t 56
client\t 1781\t 56
troubled\t 1782\t 56
putting\t 1783\t 56
mind\t 1784\t 56
broad\t 1785\t 56
popular\t 1786\t 56
victims\t 1787\t 56
represents\t 1788\t 56
drive\t 1789\t 56
schools\t 1790\t 56
M.\t 1791\t 56
Holdings\t 1792\t 56
SCI\t 1793\t 56
combined\t 1794\t 56
settled\t 1795\t 56
gets\t 1796\t 56
gene\t 1797\t 56
65\t 1798\t 56
original\t 1799\t 56
favor\t 1800\t 56
live\t 1801\t 56
Southern\t 1802\t 56
annually\t 1803\t 56
Korea\t 1804\t 56
Bell\t 1805\t 55
commission\t 1806\t 55
Of\t 1807\t 55
corporations\t 1808\t 55
words\t 1809\t 55
stations\t 1810\t 55
ratings\t 1811\t 55
tests\t 1812\t 55
amid\t 1813\t 55
Mass.\t 1814\t 55
employee\t 1815\t 55
technical\t 1816\t 55
mail\t 1817\t 55
concerned\t 1818\t 55
source\t 1819\t 55
AT&T\t 1820\t 55
Exxon\t 1821\t 55
guilty\t 1822\t 55
Power\t 1823\t 55
request\t 1824\t 55
bankers\t 1825\t 55
film\t 1826\t 55
portion\t 1827\t 55
grew\t 1828\t 55
slowing\t 1829\t 55
thousands\t 1830\t 55
roughly\t 1831\t 55
break\t 1832\t 55
adviser\t 1833\t 54
guidelines\t 1834\t 54
Times\t 1835\t 54
documents\t 1836\t 54
250\t 1837\t 54
vehicles\t 1838\t 54
competitive\t 1839\t 54
mark\t 1840\t 54
55\t 1841\t 54
phone\t 1842\t 54
certainly\t 1843\t 54
exercise\t 1844\t 54
residents\t 1845\t 54
actions\t 1846\t 54
Minister\t 1847\t 54
About\t 1848\t 54
Only\t 1849\t 54
shift\t 1850\t 54
Steel\t 1851\t 54
monetary\t 1852\t 54
trillion\t 1853\t 54
adjusted\t 1854\t 54
everything\t 1855\t 54
Sun\t 1856\t 54
placed\t 1857\t 54
normal\t 1858\t 54
easy\t 1859\t 54
improvement\t 1860\t 54
afternoon\t 1861\t 54
C.\t 1862\t 54
Here\t 1863\t 54
ease\t 1864\t 54
controlled\t 1865\t 54
proposals\t 1866\t 54
developing\t 1867\t 54
Sir\t 1868\t 54
Earlier\t 1869\t 53
surged\t 1870\t 53
Phillips\t 1871\t 53
Sachs\t 1872\t 53
year-ago\t 1873\t 53
junk-bond\t 1874\t 53
quite\t 1875\t 53
1.6\t 1876\t 53
Republicans\t 1877\t 53
underwriters\t 1878\t 53
lawmakers\t 1879\t 53
signs\t 1880\t 53
whom\t 1881\t 53
Mae\t 1882\t 53
defendants\t 1883\t 53
reform\t 1884\t 53
Standard\t 1885\t 53
Great\t 1886\t 53
Jack\t 1887\t 53
Our\t 1888\t 53
distribution\t 1889\t 53
Dallas\t 1890\t 53
pretty\t 1891\t 53
automotive\t 1892\t 53
balance\t 1893\t 53
numbers\t 1894\t 53
Australian\t 1895\t 53
voters\t 1896\t 53
education\t 1897\t 53
Paris\t 1898\t 53
Oil\t 1899\t 53
collapse\t 1900\t 52
Frank\t 1901\t 52
hundreds\t 1902\t 52
segment\t 1903\t 52
remained\t 1904\t 52
predicted\t 1905\t 52
fewer\t 1906\t 52
Jersey\t 1907\t 52
responsible\t 1908\t 52
significantly\t 1909\t 52
red\t 1910\t 52
sides\t 1911\t 52
Florida\t 1912\t 52
Lee\t 1913\t 52
revised\t 1914\t 52
proceeds\t 1915\t 52
coupon\t 1916\t 52
speed\t 1917\t 52
advance\t 1918\t 52
falling\t 1919\t 52
consulting\t 1920\t 52
faces\t 1921\t 52
W.\t 1922\t 52
practices\t 1923\t 51
B.A.T\t 1924\t 51
copper\t 1925\t 51
ventures\t 1926\t 51
resources\t 1927\t 51
Frankfurt\t 1928\t 51
Technology\t 1929\t 51
Center\t 1930\t 51
failure\t 1931\t 51
hostile\t 1932\t 51
weakness\t 1933\t 51
Alan\t 1934\t 51
traffic\t 1935\t 51
accused\t 1936\t 51
II\t 1937\t 51
losing\t 1938\t 51
Transportation\t 1939\t 51
unusual\t 1940\t 51
Though\t 1941\t 51
1982\t 1942\t 51
starting\t 1943\t 51
relations\t 1944\t 51
played\t 1945\t 51
ordered\t 1946\t 51
stopped\t 1947\t 51
plus\t 1948\t 51
benchmark\t 1949\t 51
chemicals\t 1950\t 51
clearly\t 1951\t 51
N.J.\t 1952\t 51
Nekoosa\t 1953\t 51
tomorrow\t 1954\t 51
Red\t 1955\t 51
McCaw\t 1956\t 51
except\t 1957\t 51
Ministry\t 1958\t 50
mainly\t 1959\t 50
baseball\t 1960\t 50
producing\t 1961\t 50
associated\t 1962\t 50
established\t 1963\t 50
centers\t 1964\t 50
weekend\t 1965\t 50
suggest\t 1966\t 50
soared\t 1967\t 50
thus\t 1968\t 50
college\t 1969\t 50
insurers\t 1970\t 50
environment\t 1971\t 50
healthy\t 1972\t 50
thrifts\t 1973\t 50
decide\t 1974\t 50
Poor\t 1975\t 50
liability\t 1976\t 50
fears\t 1977\t 50
movies\t 1978\t 50
Houston\t 1979\t 50
authority\t 1980\t 50
1.2\t 1981\t 50
contrast\t 1982\t 50
threat\t 1983\t 50
Chrysler\t 1984\t 50
finally\t 1985\t 50
true\t 1986\t 50
opposed\t 1987\t 50
Burnham\t 1988\t 50
structure\t 1989\t 50
felt\t 1990\t 50
kept\t 1991\t 50
5,000\t 1992\t 50
follows\t 1993\t 50
MCA\t 1994\t 50
wrong\t 1995\t 50
boosted\t 1996\t 50
uncertainty\t 1997\t 50
mixed\t 1998\t 49
51\t 1999\t 49
Labor\t 2000\t 49
effects\t 2001\t 49
books\t 2002\t 49
prosecutors\t 2003\t 49
Partners\t 2004\t 49
buildings\t 2005\t 49
substantially\t 2006\t 49
virtually\t 2007\t 49
Control\t 2008\t 49
discussions\t 2009\t 49
reflect\t 2010\t 49
nor\t 2011\t 49
GE\t 2012\t 49
temporary\t 2013\t 49
abroad\t 2014\t 49
Community\t 2015\t 49
Energy\t 2016\t 49
advertisers\t 2017\t 49
relief\t 2018\t 49
primary\t 2019\t 49
moment\t 2020\t 49
affected\t 2021\t 49
criminal\t 2022\t 49
nuclear\t 2023\t 48
B.\t 2024\t 48
present\t 2025\t 48
appropriations\t 2026\t 48
Foreign\t 2027\t 48
candidates\t 2028\t 48
pace\t 2029\t 48
publishing\t 2030\t 48
reasons\t 2031\t 48
ask\t 2032\t 48
uses\t 2033\t 48
affect\t 2034\t 48
electronics\t 2035\t 48
agree\t 2036\t 48
models\t 2037\t 48
double\t 2038\t 48
goal\t 2039\t 48
Fe\t 2040\t 48
Party\t 2041\t 48
leadership\t 2042\t 48
HUD\t 2043\t 48
Morris\t 2044\t 48
editor\t 2045\t 48
Industry\t 2046\t 48
Krenz\t 2047\t 48
recovery\t 2048\t 48
seemed\t 2049\t 48
municipal\t 2050\t 48
protect\t 2051\t 48
employment\t 2052\t 48
37\t 2053\t 48
front\t 2054\t 48
hearing\t 2055\t 47
commodity\t 2056\t 47
Three\t 2057\t 47
broker\t 2058\t 47
communications\t 2059\t 47
fairly\t 2060\t 47
margin\t 2061\t 47
cities\t 2062\t 47
pricing\t 2063\t 47
positive\t 2064\t 47
model\t 2065\t 47
families\t 2066\t 47
shown\t 2067\t 47
1980\t 2068\t 47
opinion\t 2069\t 47
Price\t 2070\t 47
usual\t 2071\t 47
advantage\t 2072\t 47
election\t 2073\t 47
damages\t 2074\t 47
leaving\t 2075\t 47
confidence\t 2076\t 47
wake\t 2077\t 47
48\t 2078\t 47
declining\t 2079\t 47
doubt\t 2080\t 47
names\t 2081\t 47
core\t 2082\t 47
twice\t 2083\t 47
training\t 2084\t 47
managed\t 2085\t 47
USAir\t 2086\t 47
accord\t 2087\t 47
barrels\t 2088\t 47
influence\t 2089\t 47
bit\t 2090\t 47
prove\t 2091\t 47
parents\t 2092\t 47
determined\t 2093\t 47
operate\t 2094\t 47
sells\t 2095\t 47
attorneys\t 2096\t 46
luxury\t 2097\t 46
equal\t 2098\t 46
coverage\t 2099\t 46
Volume\t 2100\t 46
throughout\t 2101\t 46
devices\t 2102\t 46
represent\t 2103\t 46
jointly\t 2104\t 46
Traders\t 2105\t 46
Report\t 2106\t 46
suggested\t 2107\t 46
brands\t 2108\t 46
Officials\t 2109\t 46
42\t 2110\t 46
argue\t 2111\t 46
OTC\t 2112\t 46
settle\t 2113\t 46
Beijing\t 2114\t 46
truck\t 2115\t 46
38\t 2116\t 46
scandal\t 2117\t 46
deposits\t 2118\t 46
Lambert\t 2119\t 46
finished\t 2120\t 46
litigation\t 2121\t 46
assistant\t 2122\t 46
voted\t 2123\t 46
Stephen\t 2124\t 46
Machines\t 2125\t 46
tender\t 2126\t 46
Continental\t 2127\t 46
System\t 2128\t 46
wide\t 2129\t 46
assistance\t 2130\t 46
push\t 2131\t 46
Petroleum\t 2132\t 46
Georgia\t 2133\t 46
global\t 2134\t 46
Saatchi\t 2135\t 46
cable\t 2136\t 46
Italy\t 2137\t 46
120\t 2138\t 46
finding\t 2139\t 45
authorities\t 2140\t 45
negotiating\t 2141\t 45
commitments\t 2142\t 45
1980s\t 2143\t 45
worried\t 2144\t 45
Today\t 2145\t 45
100,000\t 2146\t 45
cutting\t 2147\t 45
EC\t 2148\t 45
Toronto\t 2149\t 45
declared\t 2150\t 45
relationship\t 2151\t 45
compromise\t 2152\t 45
release\t 2153\t 45
Africa\t 2154\t 45
intended\t 2155\t 45
Central\t 2156\t 45
excess\t 2157\t 45
Telerate\t 2158\t 45
Joseph\t 2159\t 45
association\t 2160\t 45
style\t 2161\t 45
talking\t 2162\t 45
direction\t 2163\t 45
guarantees\t 2164\t 45
preliminary\t 2165\t 45
regular\t 2166\t 45
suggests\t 2167\t 45
Hewlett-Packard\t 2168\t 45
town\t 2169\t 45
section\t 2170\t 45
conventional\t 2171\t 45
antitrust\t 2172\t 45
extremely\t 2173\t 45
gone\t 2174\t 45
meanwhile\t 2175\t 45
hotel\t 2176\t 44
suspended\t 2177\t 44
meetings\t 2178\t 44
decisions\t 2179\t 44
Bill\t 2180\t 44
bigger\t 2181\t 44
station\t 2182\t 44
disclose\t 2183\t 44
ounce\t 2184\t 44
save\t 2185\t 44
Edward\t 2186\t 44
Finance\t 2187\t 44
fourth-quarter\t 2188\t 44
replace\t 2189\t 44
vehicle\t 2190\t 44
Boeing\t 2191\t 44
supplies\t 2192\t 44
asking\t 2193\t 44
fine\t 2194\t 44
puts\t 2195\t 44
elections\t 2196\t 44
Council\t 2197\t 44
social\t 2198\t 44
appeared\t 2199\t 44
refused\t 2200\t 44
operates\t 2201\t 44
strategic\t 2202\t 44
swings\t 2203\t 44
century\t 2204\t 44
F.\t 2205\t 44
deputy\t 2206\t 44
wife\t 2207\t 44
1.1\t 2208\t 44
blacks\t 2209\t 44
Defense\t 2210\t 44
Like\t 2211\t 44
surge\t 2212\t 44
Prime\t 2213\t 44
Telephone\t 2214\t 44
Dealers\t 2215\t 44
helping\t 2216\t 44
file\t 2217\t 44
extra\t 2218\t 44
studies\t 2219\t 44
nations\t 2220\t 44
argued\t 2221\t 43
S.\t 2222\t 43
living\t 2223\t 43
worry\t 2224\t 43
thinks\t 2225\t 43
event\t 2226\t 43
N.Y.\t 2227\t 43
chip\t 2228\t 43
CDs\t 2229\t 43
ceiling\t 2230\t 43
1.3\t 2231\t 43
4.5\t 2232\t 43
politicians\t 2233\t 43
invest\t 2234\t 43
joined\t 2235\t 43
Louis\t 2236\t 43
Conn.\t 2237\t 43
Futures\t 2238\t 43
older\t 2239\t 43
high-yield\t 2240\t 43
Their\t 2241\t 43
providing\t 2242\t 43
confirmed\t 2243\t 43
Manufacturers\t 2244\t 43
type\t 2245\t 43
32\t 2246\t 43
Hollywood\t 2247\t 43
movement\t 2248\t 43
Loan\t 2249\t 43
RJR\t 2250\t 43
promise\t 2251\t 43
consultants\t 2252\t 43
Ross\t 2253\t 43
happen\t 2254\t 43
types\t 2255\t 43
crisis\t 2256\t 43
specialists\t 2257\t 42
investing\t 2258\t 42
citing\t 2259\t 42
judges\t 2260\t 42
patients\t 2261\t 42
extraordinary\t 2262\t 42
launch\t 2263\t 42
expressed\t 2264\t 42
critics\t 2265\t 42
door\t 2266\t 42
society\t 2267\t 42
underlying\t 2268\t 42
denied\t 2269\t 42
p.m.\t 2270\t 42
representing\t 2271\t 42
controversial\t 2272\t 42
Singapore\t 2273\t 42
piece\t 2274\t 42
discovered\t 2275\t 42
class\t 2276\t 42
metals\t 2277\t 42
ban\t 2278\t 42
46\t 2279\t 42
Hampshire\t 2280\t 42
obtain\t 2281\t 42
Grand\t 2282\t 42
language\t 2283\t 42
suffered\t 2284\t 42
Phelan\t 2285\t 42
CD\t 2286\t 42
outlook\t 2287\t 42
founder\t 2288\t 42
six-month\t 2289\t 42
regulations\t 2290\t 42
Intel\t 2291\t 42
discuss\t 2292\t 42
Ogilvy\t 2293\t 42
warrants\t 2294\t 42
Terms\t 2295\t 42
genes\t 2296\t 42
accepted\t 2297\t 41
reserve\t 2298\t 41
1.8\t 2299\t 41
weekly\t 2300\t 41
heat\t 2301\t 41
served\t 2302\t 41
NBC\t 2303\t 41
keeping\t 2304\t 41
School\t 2305\t 41
utility\t 2306\t 41
instruments\t 2307\t 41
word\t 2308\t 41
Broadcasting\t 2309\t 41
votes\t 2310\t 41
succeeds\t 2311\t 41
temporarily\t 2312\t 41
dozen\t 2313\t 41
attract\t 2314\t 41
3.5\t 2315\t 41
safe\t 2316\t 41
Thus\t 2317\t 41
From\t 2318\t 41
colleagues\t 2319\t 41
returned\t 2320\t 41
succeed\t 2321\t 41
reflected\t 2322\t 41
reaction\t 2323\t 41
sets\t 2324\t 41
insured\t 2325\t 41
offerings\t 2326\t 41
circumstances\t 2327\t 41
membership\t 2328\t 41
gross\t 2329\t 41
District\t 2330\t 41
resignation\t 2331\t 41
concluded\t 2332\t 41
49\t 2333\t 41
lowered\t 2334\t 41
simple\t 2335\t 41
prospects\t 2336\t 41
ensure\t 2337\t 41
written\t 2338\t 41
Aug.\t 2339\t 41
crop\t 2340\t 41
1970s\t 2341\t 41
rapidly\t 2342\t 41
comparable\t 2343\t 41
Switzerland\t 2344\t 41
prior\t 2345\t 41
Fannie\t 2346\t 41
Costa\t 2347\t 41
views\t 2348\t 41
ABC\t 2349\t 41
agreements\t 2350\t 41
